ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T00:03:20+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:03:29+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:03:38+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:03:47+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:03:56+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:04:05+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:04:15+00:00,306.73,306.73,1,1,hold,False
2026-04-12T00:04:24+00:00,723.43,723.43,1,1,hold,False
2026-04-12T00:04:33+00:00,1041.64,1041.64,1,1,hold,False
2026-04-12T00:04:42+00:00,1041.76,910.58,1,1,hold,False
2026-04-12T00:04:51+00:00,1041.64,1146.44,1,1,hold,False
2026-04-12T00:05:00+00:00,1041.64,1053.23,1,1,hold,False
2026-04-12T00:05:09+00:00,943.88,705.11,1,1,hold,False
2026-04-12T00:05:18+00:00,527.1,0,1,1,hold,False
2026-04-12T00:05:27+00:00,110.48,0,1,1,hold,False
2026-04-12T00:05:36+00:00,0.0,318.16,1,1,hold,False
2026-04-12T00:05:45+00:00,1191.58,3122.85,1,3,scale_up,True
2026-04-12T00:05:54+00:00,2398.24,2457.96,3,2,hold,False
2026-04-12T00:06:03+00:00,3508.66,3162.68,3,3,hold,False
2026-04-12T00:06:12+00:00,3090.92,1466.22,3,1,scale_down,True
2026-04-12T00:06:22+00:00,3631.92,3903.02,1,3,hold,False
2026-04-12T00:06:30+00:00,2410.41,1992.51,1,2,hold,False
2026-04-12T00:06:40+00:00,1133.26,354.09,1,1,hold,False
2026-04-12T00:06:49+00:00,130.24,279.3,1,1,hold,False
2026-04-12T00:06:58+00:00,1795.17,1520.35,1,2,scale_up,True
2026-04-12T00:07:07+00:00,2548.5,2939.23,2,2,hold,False
2026-04-12T00:07:16+00:00,3587.61,3873.59,2,3,hold,False
2026-04-12T00:07:25+00:00,3178.89,3127.98,2,3,scale_up,True
2026-04-12T00:07:34+00:00,3402.44,3154.98,3,3,hold,False
2026-04-12T00:07:43+00:00,2236.13,1793.4,3,2,hold,False
2026-04-12T00:07:52+00:00,569.33,484.53,3,1,scale_down,True
2026-04-12T00:08:01+00:00,0.2,821.42,1,1,hold,False
2026-04-12T00:08:09+00:00,0.08,1655.44,1,2,hold,False
2026-04-12T00:08:18+00:00,0.0,1716.08,1,2,scale_up,True
2026-04-12T00:08:28+00:00,0.0,1233.43,2,1,hold,False
2026-04-12T00:08:36+00:00,0.03,597.94,2,1,hold,False
2026-04-12T00:08:45+00:00,0.04,0,2,1,scale_down,True
2026-04-12T00:08:55+00:00,0.04,0,1,1,hold,False
2026-04-12T00:09:04+00:00,0.0,527.05,1,1,hold,False
2026-04-12T00:09:13+00:00,0.0,672.42,1,1,hold,False
2026-04-12T00:09:22+00:00,0.04,0,1,1,hold,False
2026-04-12T00:09:30+00:00,0.04,0,1,1,hold,False
2026-04-12T00:09:40+00:00,0.04,186.93,1,1,hold,False
2026-04-12T00:09:49+00:00,0.0,107.88,1,1,hold,False
2026-04-12T00:09:58+00:00,0.0,214.62,1,1,hold,False
2026-04-12T00:10:07+00:00,0.0,0,1,1,hold,False
2026-04-12T00:10:16+00:00,0.0,0,1,1,hold,False
2026-04-12T00:10:25+00:00,0.0,0,1,1,hold,False
2026-04-12T00:10:34+00:00,0.0,1.94,1,1,hold,False
2026-04-12T00:10:43+00:00,0.0,16.83,1,1,hold,False
2026-04-12T00:10:52+00:00,0.0,35.77,1,1,hold,False
2026-04-12T00:11:00+00:00,0.0,0,1,1,hold,False
2026-04-12T00:11:09+00:00,0.0,357.41,1,1,hold,False
2026-04-12T00:11:18+00:00,0.0,147.79,1,1,hold,False
2026-04-12T00:11:28+00:00,0.0,0,1,1,hold,False
2026-04-12T00:11:36+00:00,0.0,0,1,1,hold,False
2026-04-12T00:11:46+00:00,0.0,0,1,1,hold,False
