ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-04-28T07:19:31+01:00,0,1,0,1500,1/1,1
2026-04-28T07:19:37+01:00,0,1,0,1500,1/1,1
2026-04-28T07:19:42+01:00,0,1,0,1500,1/1,1
2026-04-28T07:19:47+01:00,0,1,0,1500,1/1,1
2026-04-28T07:19:52+01:00,0,1,0,1500,1/1,1
2026-04-28T07:19:57+01:00,0,1,0,1500,1/1,1
2026-04-28T07:20:02+01:00,0,1,0,1500,1/1,1
2026-04-28T07:20:07+01:00,103.12,1,0,1500,1/1,1
2026-04-28T07:20:12+01:00,311.4524580983239,1,311452m,1500,1/1,1
2026-04-28T07:20:18+01:00,519.8,1,311452m,1500,1/1,1
2026-04-28T07:20:23+01:00,728.12,1,311452m,1500,1/1,1
2026-04-28T07:20:28+01:00,936.36,1,936360m,1500,1/1,1
2026-04-28T07:20:33+01:00,1041.68,1,936360m,1500,1/1,1
2026-04-28T07:20:38+01:00,1041.68,1,936360m,1500,1/1,1
2026-04-28T07:20:43+01:00,1041.64,1,1041640m,1500,1/1,1
2026-04-28T07:20:48+01:00,1041.6416656666265,1,1041640m,1500,1/1,1
2026-04-28T07:20:53+01:00,1041.5966722662188,1,1041640m,1500,1/1,1
2026-04-28T07:20:58+01:00,1041.5983360665573,1,1041598m,1500,1/1,1
2026-04-28T07:21:03+01:00,1041.64,1,1041598m,1500,1/1,1
2026-04-28T07:21:08+01:00,939.24,1,730960m,1500,1/1,1
2026-04-28T07:21:13+01:00,730.96,1,730960m,1500,1/1,1
2026-04-28T07:21:18+01:00,522.6609064362574,1,730960m,1500,1/1,1
2026-04-28T07:21:23+01:00,314.2651412112969,1,105924m,1500,1/1,1
2026-04-28T07:21:28+01:00,105.92423696947877,1,105924m,1500,1/1,1
2026-04-28T07:21:33+01:00,0,1,105924m,1500,1/1,1
2026-04-28T07:21:38+01:00,359.505619775209,1,1193207m,1500,1/1,1
2026-04-28T07:21:43+01:00,2026.4389424423025,1,1193207m,1500,1/1,1
2026-04-28T07:21:48+01:00,2859.52,1,1193207m,1500,1/1,1
2026-04-28T07:21:53+01:00,3693.04,1,3693040m,1500,1/2,1
2026-04-28T07:22:00+01:00,3860.474418976759,1,3693040m,1500,2/2,2
2026-04-28T07:22:05+01:00,3026.4378849692025,1,3693040m,1500,2/2,2
2026-04-28T07:22:11+01:00,2193.32,2,2193320m,1500,2/2,2
2026-04-28T07:22:16+01:00,3026.0665956405865,2,2193320m,1500,2/2,2
2026-04-28T07:22:22+01:00,3036.7598399999997,2,2193320m,1500,2/2,2
2026-04-28T07:22:28+01:00,3222.9154833333328,2,2969535m,1500,3/3,3
2026-04-28T07:22:34+01:00,NA,2,2969535m,1500,3/3,3
2026-04-28T07:22:40+01:00,3892.7019337066963,3,3970636m,1500,3/3,3
2026-04-28T07:22:45+01:00,3786.912321535693,3,3970636m,1500,3/3,3
2026-04-28T07:22:50+01:00,3617.4157999999998,3,3970636m,1500,3/3,3
2026-04-28T07:22:55+01:00,3633.4496,3,3664283m,1500,4/4,4
2026-04-28T07:23:01+01:00,4060.56,3,3664283m,1500,4/4,4
2026-04-28T07:23:07+01:00,3490.9141507853956,3,3664283m,1500,4/4,4
2026-04-28T07:23:12+01:00,3396.1878,4,3935832m,1500,4/4,4
2026-04-28T07:23:18+01:00,3430.453333333333,4,3935832m,1500,4/4,4
2026-04-28T07:23:24+01:00,3507.94473,4,3629751m,1500,4/5,4
2026-04-28T07:23:30+01:00,4164.4800000000005,4,3629751m,1500,5/5,5
2026-04-28T07:23:35+01:00,4060.6800000000003,4,3629751m,1500,5/5,5
2026-04-28T07:23:40+01:00,3227.2000000000003,5,3227200m,1500,5/5,5
2026-04-28T07:23:46+01:00,2394.28,5,3227200m,1500,5/5,5
2026-04-28T07:23:52+01:00,1560.4606525911709,5,3227200m,1500,5/5,5
2026-04-28T07:23:57+01:00,729.84,5,729840m,1500,4/4,4
2026-04-28T07:24:02+01:00,0.2,5,729840m,1500,4/4,4
2026-04-28T07:24:07+01:00,0.08,5,729840m,1500,4/4,4
2026-04-28T07:24:13+01:00,0.040012804097311144,4,80m,1500,4/4,4
2026-04-28T07:24:18+01:00,0.03998880313512217,4,80m,1500,4/4,4
2026-04-28T07:24:23+01:00,0.04,4,40m,1500,3/3,3
2026-04-28T07:24:29+01:00,0.0399872040946897,4,40m,1500,3/3,3
2026-04-28T07:24:34+01:00,0.04,4,40m,1500,3/3,3
2026-04-28T07:24:39+01:00,0.04,3,40m,1500,3/3,3
2026-04-28T07:24:44+01:00,0.04001120313687833,3,40m,1500,3/3,3
2026-04-28T07:24:49+01:00,0.04,3,40m,1500,3/3,3
2026-04-28T07:24:55+01:00,0,3,0,1500,2/2,2
2026-04-28T07:25:00+01:00,0,3,0,1500,2/2,2
2026-04-28T07:25:05+01:00,0,3,0,1500,2/2,2
2026-04-28T07:25:11+01:00,0,2,0,1500,2/2,2
2026-04-28T07:25:17+01:00,0,2,0,1500,2/2,2
2026-04-28T07:25:22+01:00,0,2,0,1500,2/2,2
2026-04-28T07:25:27+01:00,0,2,0,1500,1/1,1
2026-04-28T07:25:33+01:00,0,2,0,1500,1/1,1
2026-04-28T07:25:38+01:00,0,2,0,1500,1/1,1
2026-04-28T07:25:43+01:00,0,1,0,1500,1/1,1
2026-04-28T07:25:49+01:00,0,1,0,1500,1/1,1
2026-04-28T07:25:54+01:00,0,1,0,1500,1/1,1
2026-04-28T07:25:59+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:04+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:09+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:14+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:19+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:24+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:29+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:34+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:39+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:44+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:50+01:00,0,1,0,1500,1/1,1
2026-04-28T07:26:55+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:00+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:05+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:10+01:00,0.04,1,40m,1500,1/1,1
2026-04-28T07:27:15+01:00,0.04,1,40m,1500,1/1,1
2026-04-28T07:27:20+01:00,0.04000320025602048,1,40m,1500,1/1,1
2026-04-28T07:27:25+01:00,0.04,1,40m,1500,1/1,1
2026-04-28T07:27:30+01:00,0.04,1,40m,1500,1/1,1
2026-04-28T07:27:35+01:00,0,1,40m,1500,1/1,1
2026-04-28T07:27:40+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:45+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:50+01:00,0,1,0,1500,1/1,1
2026-04-28T07:27:55+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:00+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:05+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:10+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:15+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:20+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:25+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:30+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:35+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:40+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:45+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:50+01:00,0,1,0,1500,1/1,1
2026-04-28T07:28:55+01:00,0,1,0,1500,1/1,1
2026-04-28T07:29:00+01:00,0,1,0,1500,1/1,1
