ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T19:44:38+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:44:48+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:44:57+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:06+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:15+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:24+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:33+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:42+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:45:51+00:00,390.32,390.32,1,1,hold,False
