ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-24T19:25:53+00:00,0,1,0,4k,1/1,1
2026-03-24T19:25:58+00:00,0,1,0,4k,1/1,1
2026-03-24T19:26:03+00:00,0,1,0,4k,1/1,1
2026-03-24T19:26:08+00:00,23,1,0,4k,1/1,1
2026-03-24T19:26:13+00:00,648.0940762369505,1,648094m,4k,1/1,1
2026-03-24T19:26:19+00:00,1273.2400000000002,1,648094m,4k,1/1,1
2026-03-24T19:26:25+00:00,1898.1640734370626,1,648094m,4k,1/1,1
2026-03-24T19:26:29+00:00,2523.0190792368307,1,2523019m,4k,1/1,1
2026-03-24T19:26:35+00:00,3124.9950001999923,1,2523019m,4k,1/1,1
2026-03-24T19:26:39+00:00,3124.964998599944,1,2523019m,4k,1/1,1
2026-03-24T19:26:45+00:00,3124.88,1,3124880m,4k,1/1,1
2026-03-24T19:26:51+00:00,3124.964998599944,1,3124880m,4k,1/1,1
2026-03-24T19:26:56+00:00,3124.88,1,3124880m,4k,1/1,1
2026-03-24T19:27:01+00:00,3124.96,1,3124960m,4k,1/1,1
2026-03-24T19:27:06+00:00,3125.12,1,3124960m,4k,1/1,1
2026-03-24T19:27:11+00:00,3125.085003400136,1,3124960m,4k,1/1,1
2026-03-24T19:27:16+00:00,3124.9150033998644,1,3124915m,4k,1/1,1
2026-03-24T19:27:21+00:00,3125.2000000000003,1,3124915m,4k,1/1,1
2026-03-24T19:27:26+00:00,3125.16,1,3124915m,4k,1/1,1
2026-03-24T19:27:31+00:00,3125.12,1,3125120m,4k,1/1,1
2026-03-24T19:27:36+00:00,3124.8750049998002,1,3125120m,4k,1/1,1
2026-03-24T19:27:41+00:00,3125.005000200008,1,3125120m,4k,1/1,1
2026-03-24T19:27:46+00:00,3125.034998600056,1,3125034m,4k,1/1,1
2026-03-24T19:27:51+00:00,3124.88,1,3125034m,4k,1/1,1
2026-03-24T19:27:56+00:00,3124.92,1,3125034m,4k,1/1,1
2026-03-24T19:28:01+00:00,3125.16,1,3125160m,4k,1/1,1
2026-03-24T19:28:06+00:00,3125.12,1,3125160m,4k,1/1,1
2026-03-24T19:28:11+00:00,3102.408192655412,1,3125160m,4k,1/1,1
2026-03-24T19:28:16+00:00,2477.4990999639986,1,2477499m,4k,1/1,1
2026-03-24T19:28:21+00:00,1852.3259069637215,1,2477499m,4k,1/1,1
2026-03-24T19:28:26+00:00,1227.3290931637266,1,2477499m,4k,1/1,1
2026-03-24T19:28:31+00:00,602.4,1,602400m,4k,1/1,1
