ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-24T19:13:09+00:00,0.12000960076806144,1,80m,4k,1/1,1
2026-03-24T19:13:15+00:00,557.08,1,557080m,4k,1/1,1
2026-03-24T19:13:19+00:00,1182.0872834913396,1,557080m,4k,1/1,1
2026-03-24T19:13:25+00:00,1807.16,1,557080m,4k,1/1,1
2026-03-24T19:13:29+00:00,2432.354588367069,1,2432354m,4k,1/1,1
2026-03-24T19:13:35+00:00,3056.96,1,2432354m,4k,1/1,1
2026-03-24T19:13:39+00:00,3125.08,1,2432354m,4k,1/1,1
2026-03-24T19:13:45+00:00,3124.9950001999923,1,3124995m,4k,1/1,1
2026-03-24T19:13:49+00:00,3124.92,1,3124995m,4k,1/1,1
2026-03-24T19:13:55+00:00,3125.005000200008,1,3124995m,4k,1/1,1
2026-03-24T19:13:59+00:00,3124.9150033998644,1,3124915m,4k,1/1,1
2026-03-24T19:14:05+00:00,3124.96,1,3124915m,4k,1/1,1
2026-03-24T19:14:09+00:00,3125,1,3124915m,4k,1/1,1
2026-03-24T19:14:14+00:00,2568.6627465098604,1,2568662m,4k,1/1,1
2026-03-24T19:14:19+00:00,1943.4822607095718,1,2568662m,4k,1/1,1
2026-03-24T19:14:24+00:00,1318.6527461098444,1,2568662m,4k,1/1,1
2026-03-24T19:14:29+00:00,693.6,1,693600m,4k,1/1,1
2026-03-24T19:14:34+00:00,68.56,1,693600m,4k,1/1,1
