ts,actual_pps,predicted_pps,predicted_pps_avg,actual_replicas,predicted_replicas,replica_match
2026-03-24 19:13:59+00:00,3124.9150033998644,3120.4,3118.55,1,1,True
2026-03-24 19:14:05+00:00,3124.96,3116.92,3113.27,1,1,True
2026-03-24 19:14:09+00:00,3125.0,3138.81,3144.53,1,1,True
2026-03-24 19:14:14+00:00,2568.6627465098604,3112.52,3107.42,1,1,True
2026-03-24 19:14:19+00:00,1943.482260709572,2004.73,1567.62,1,1,True
2026-03-24 19:14:24+00:00,1318.6527461098444,1331.56,786.48,1,1,True
2026-03-24 19:14:29+00:00,693.6,734.93,248.54,1,1,True
2026-03-24 19:14:34+00:00,68.56,132.54,0.0,1,1,True
