ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-03-26T22:21:28+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:21:37+00:00,813.15,813.15,1,1,hold,False
2026-03-26T22:21:46+00:00,1230.0,1230.0,1,1,hold,False
2026-03-26T22:21:55+00:00,2063.32,2063.32,1,1,hold,False
2026-03-26T22:22:04+00:00,2083.52,2083.52,1,1,hold,False
2026-03-26T22:22:14+00:00,2083.41,2083.41,1,1,hold,False
2026-03-26T22:22:23+00:00,2083.32,2083.32,1,1,hold,False
2026-03-26T22:22:31+00:00,2083.16,2083.16,1,1,hold,False
2026-03-26T22:22:40+00:00,1270.83,1270.83,1,1,hold,False
2026-03-26T22:22:49+00:00,437.46,0,1,1,hold,False
2026-03-26T22:22:58+00:00,0.0,0,1,1,hold,False
2026-03-26T22:23:07+00:00,0.0,70.01,1,1,hold,False
2026-03-26T22:23:16+00:00,0.0,4.05,1,1,hold,False
2026-03-26T22:23:25+00:00,0.0,0,1,1,hold,False
2026-03-26T22:23:34+00:00,0.0,82.26,1,1,hold,False
2026-03-26T22:23:43+00:00,0.0,0,1,1,hold,False
2026-03-26T22:23:52+00:00,0.0,67.29,1,1,hold,False
2026-03-26T22:24:01+00:00,0.0,0,1,1,hold,False
2026-03-26T22:24:10+00:00,0.0,0,1,1,hold,False
2026-03-26T22:24:20+00:00,0.0,41.05,1,1,hold,False
2026-03-26T22:24:29+00:00,0.0,0,1,1,hold,False
2026-03-26T22:24:38+00:00,0.0,55.55,1,1,hold,False
2026-03-26T22:24:47+00:00,0.0,0,1,1,hold,False
2026-03-26T22:24:56+00:00,0.0,10.18,1,1,hold,False
2026-03-26T22:25:05+00:00,0.0,14.94,1,1,hold,False
2026-03-26T22:25:14+00:00,0.0,0,1,1,hold,False
2026-03-26T22:25:23+00:00,0.0,44.82,1,1,hold,False
2026-03-26T22:25:31+00:00,0.0,0,1,1,hold,False
2026-03-26T22:25:40+00:00,0.0,26.04,1,1,hold,False
2026-03-26T22:25:49+00:00,0.0,0,1,1,hold,False
2026-03-26T22:25:58+00:00,0.0,313.97,1,1,hold,False
2026-03-26T22:26:07+00:00,0.0,0,1,1,hold,False
2026-03-26T22:26:16+00:00,0.0,0,1,1,hold,False
2026-03-26T22:26:25+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:26:34+00:00,0.0,0,1,1,hold,False
2026-03-26T22:26:43+00:00,0.0,68.47,1,1,hold,False
2026-03-26T22:26:53+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:27:01+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:27:11+00:00,0.0,0,1,1,hold,False
2026-03-26T22:27:20+00:00,0.0,0,1,1,hold,False
