ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T18:59:12+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:59:21+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:59:30+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:59:39+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:59:48+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:59:57+00:00,0.0,0.0,1,1,hold,False
2026-04-12T19:00:06+00:00,324.2,324.2,1,1,hold,False
2026-04-12T19:00:15+00:00,740.92,740.92,1,1,hold,False
2026-04-12T19:00:24+00:00,1041.64,1041.64,1,1,hold,False
2026-04-12T19:00:33+00:00,1041.76,875.47,1,1,hold,False
2026-04-12T19:00:42+00:00,1041.72,1129.88,1,1,hold,False
2026-04-12T19:00:51+00:00,1041.64,1053.11,1,1,hold,False
2026-04-12T19:01:00+00:00,926.4,689.77,1,1,hold,False
2026-04-12T19:01:10+00:00,509.72,0,1,1,hold,False
2026-04-12T19:01:19+00:00,93.04,0,1,1,hold,False
2026-04-12T19:01:28+00:00,0.0,256.49,1,1,hold,False
2026-04-12T19:01:37+00:00,1253.04,3386.1,1,3,scale up,True
2026-04-12T19:01:46+00:00,2502.24,2599.84,3,2,hold,False
2026-04-12T19:01:55+00:00,3298.25,2098.49,3,2,hold,False
2026-04-12T19:02:04+00:00,2884.29,1767.22,3,2,hold,False
2026-04-12T19:02:14+00:00,3747.61,4661.26,3,4,scale up,True
2026-04-12T19:02:23+00:00,0.0,1559.43,4,2,hold,False
2026-04-12T19:02:33+00:00,4164.6,1568.46,4,2,hold,False
2026-04-12T19:02:42+00:00,4165.0,3516.51,4,3,hold,False
2026-04-12T19:02:51+00:00,4166.4,4125.29,4,3,scale down,True
2026-04-12T19:03:00+00:00,4166.76,4466.66,3,3,hold,False
2026-04-12T19:03:09+00:00,4165.64,4055.41,3,3,hold,False
2026-04-12T19:03:18+00:00,4165.56,4954.91,3,4,hold,False
2026-04-12T19:03:27+00:00,4165.56,4831.84,3,4,scale up,True
2026-04-12T19:03:36+00:00,2742.12,3945.02,4,3,hold,False
2026-04-12T19:03:45+00:00,1075.67,1431.62,4,1,hold,False
2026-04-12T19:03:54+00:00,0.0,370.79,4,1,hold,False
2026-04-12T19:04:03+00:00,0.04,275.51,4,1,scale down,True
2026-04-12T19:04:13+00:00,0.04,299.34,1,1,hold,False
2026-04-12T19:04:21+00:00,0.0,279.01,1,1,hold,False
2026-04-12T19:04:31+00:00,0.0,300.79,1,1,hold,False
2026-04-12T19:04:40+00:00,0.0,306.56,1,1,hold,False
2026-04-12T19:04:49+00:00,0.0,304.79,1,1,hold,False
2026-04-12T19:04:58+00:00,0.0,287.65,1,1,hold,False
2026-04-12T19:05:07+00:00,0.0,273.79,1,1,hold,False
2026-04-12T19:05:16+00:00,0.0,258.75,1,1,hold,False
2026-04-12T19:05:25+00:00,0.04,0,1,1,hold,False
2026-04-12T19:05:34+00:00,0.04,157.61,1,1,hold,False
2026-04-12T19:05:43+00:00,0.04,0,1,1,hold,False
2026-04-12T19:05:52+00:00,0.0,0,1,1,hold,False
2026-04-12T19:06:01+00:00,0.0,96.7,1,1,hold,False
2026-04-12T19:06:10+00:00,0.0,7.33,1,1,hold,False
2026-04-12T19:06:19+00:00,0.0,163.53,1,1,hold,False
2026-04-12T19:06:28+00:00,0.0,471.85,1,1,hold,False
2026-04-12T19:06:38+00:00,0.0,846.04,1,1,hold,False
2026-04-12T19:06:46+00:00,0.0,0,1,1,hold,False
2026-04-12T19:06:56+00:00,0.0,0,1,1,hold,False
2026-04-12T19:07:05+00:00,0.0,17.84,1,1,hold,False
2026-04-12T19:07:13+00:00,0.0,5.53,1,1,hold,False
2026-04-12T19:07:22+00:00,0.0,17.81,1,1,hold,False
2026-04-12T19:07:31+00:00,0.0,0,1,1,hold,False
2026-04-12T19:07:40+00:00,0.0,0,1,1,hold,False
