ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-26T20:10:41+00:00,625.48,4,128039m,4k,4/4,4
2026-03-26T20:10:47+00:00,625.48,4,128039m,4k,4/4,4
2026-03-26T20:10:53+00:00,1312.4000000000003,4,895840m,4k,4/4,4
2026-03-26T20:10:59+00:00,1601.1200000000001,4,895840m,4k,4/4,4
2026-03-26T20:11:06+00:00,1520,4,1520,4k,4/4,4
2026-03-26T20:11:12+00:00,2083.16,4,1520,4k,4/4,4
2026-03-26T20:11:19+00:00,1813.68,4,1520,4k,4/4,4
2026-03-26T20:11:24+00:00,1396.92,4,1813680m,4k,3/3,3
2026-03-26T20:11:30+00:00,980.6,4,1813680m,4k,3/3,3
2026-03-26T20:11:36+00:00,1171.3337066965357,3,1171333m,4k,2/2,2
2026-03-26T20:11:42+00:00,2062.2000000000003,3,1171333m,4k,2/2,2
2026-03-26T20:11:48+00:00,1925.81984,3,1171333m,4k,2/2,2
2026-03-26T20:11:54+00:00,2107.4309200000002,2,1687704m,4k,2/2,2
2026-03-26T20:12:00+00:00,1556.7366933333335,2,1687704m,4k,2/2,2
2026-03-26T20:12:06+00:00,0,2,0,4k,2/2,2
2026-03-26T20:12:13+00:00,0,2,0,4k,2/2,2
2026-03-26T20:12:19+00:00,309.60868882860683,2,326892m,4k,2/2,2
2026-03-26T20:12:27+00:00,730.4909640000001,2,326892m,4k,2/2,2
2026-03-26T20:12:33+00:00,1166.0846546666667,2,326892m,4k,2/2,2
2026-03-26T20:12:39+00:00,1742.64084,2,1487702m,4k,2/2,2
2026-03-26T20:12:46+00:00,2083.4,2,1487702m,4k,2/2,2
2026-03-26T20:12:52+00:00,1750.76,2,1750760m,4k,2/2,2
2026-03-26T20:12:58+00:00,1334.2,2,1750760m,4k,2/2,2
2026-03-26T20:13:04+00:00,1248.16,2,1248160m,4k,2/2,2
2026-03-26T20:13:10+00:00,1872.8,2,1248160m,4k,2/2,2
2026-03-26T20:13:16+00:00,2830.64,2,1248160m,4k,2/2,2
2026-03-26T20:13:23+00:00,3871.92,2,3871920m,4k,2/2,2
2026-03-26T20:13:29+00:00,5206.16,2,3871920m,4k,2/2,2
2026-03-26T20:13:35+00:00,4452.24,2,4452240m,4k,2/3,2
2026-03-26T20:13:42+00:00,3410.4,2,4452240m,4k,3/3,3
2026-03-26T20:13:47+00:00,2369.12,2,4452240m,4k,3/3,3
2026-03-26T20:13:54+00:00,1329.24,3,1329240m,4k,3/3,3
2026-03-26T20:14:00+00:00,0,3,1329240m,4k,3/3,3
2026-03-26T20:14:06+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:12+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:18+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:24+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:30+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:36+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:42+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:48+00:00,0,3,0,4k,3/3,3
2026-03-26T20:14:54+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:00+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:06+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:13+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:19+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:24+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:30+00:00,NA,3,0,4k,3/3,3
2026-03-26T20:15:36+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:42+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:48+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:54+00:00,0,3,0,4k,3/3,3
2026-03-26T20:15:59+00:00,0,3,0,4k,3/3,3
