ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-05-17T11:44:13+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:18+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:23+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:28+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:33+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:38+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:43+01:00,0,1,0,1500,1/1,1
2026-05-17T11:44:48+01:00,192.08,1,0,1500,1/1,1
2026-05-17T11:44:53+01:00,400.5120409632771,1,0,1500,1/1,1
2026-05-17T11:44:58+01:00,608.76,1,608760m,1500,1/1,1
2026-05-17T11:45:03+01:00,817.12,1,608760m,1500,1/1,1
2026-05-17T11:45:08+01:00,1025.5210208408337,1,608760m,1500,1/1,1
2026-05-17T11:45:13+01:00,1041.76,1,1041760m,1500,1/1,1
2026-05-17T11:45:18+01:00,1041.7216688667547,1,1041760m,1500,1/1,1
2026-05-17T11:45:24+01:00,1041.68,1,1041760m,1500,1/1,1
2026-05-17T11:45:28+01:00,1041.6383344666215,1,1041638m,1500,1/1,1
2026-05-17T11:45:34+01:00,1041.64,1,1041638m,1500,1/1,1
2026-05-17T11:45:38+01:00,1041.5983360665573,1,1041638m,1500,1/1,1
2026-05-17T11:45:44+01:00,1041.5983360665573,1,1041598m,1500,1/1,1
2026-05-17T11:45:48+01:00,850.1659933602656,1,1041598m,1500,1/1,1
2026-05-17T11:45:54+01:00,641.8656746269851,1,1041598m,1500,1/1,1
2026-05-17T11:45:58+01:00,433.52,1,433520m,1500,1/1,1
2026-05-17T11:46:03+01:00,583.0633225329013,1,433520m,1500,1/1,1
2026-05-17T11:46:08+01:00,791.52,1,433520m,1500,1/1,1
2026-05-17T11:46:13+01:00,1191.4,1,1191400m,1500,1/1,1
2026-05-17T11:46:18+01:00,1607.9356825726973,1,1191400m,1500,1/1,1
2026-05-17T11:46:23+01:00,2024.5590176392946,1,1191400m,1500,1/1,1
2026-05-17T11:46:28+01:00,2083.36,1,2083360m,1500,2/2,2
2026-05-17T11:46:33+01:00,1768.8707548301932,1,2083360m,1500,2/2,2
2026-05-17T11:46:38+01:00,1992.2456,1,2083360m,1500,2/2,2
2026-05-17T11:46:43+01:00,1934.692140696828,2,1851147m,1500,2/3,2
2026-05-17T11:46:48+01:00,1699.9911555555555,2,1851147m,1500,3/3,3
2026-05-17T11:46:53+01:00,1239.1612105635772,2,1851147m,1500,3/3,3
2026-05-17T11:46:58+01:00,1926.4323533333336,3,1811116m,1500,4/4,4
2026-05-17T11:47:03+01:00,1739.3982999999998,3,1811116m,1500,4/4,4
