ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T00:25:06+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:25:15+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:25:24+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:25:33+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:25:42+00:00,0.0,0.0,1,1,hold,False
2026-04-12T00:25:52+00:00,65.36,65.36,1,1,hold,False
2026-04-12T00:26:00+00:00,273.7,273.7,1,1,hold,False
2026-04-12T00:26:09+00:00,690.4,690.4,1,1,hold,False
2026-04-12T00:26:18+00:00,1041.68,1041.68,1,1,hold,False
2026-04-12T00:26:27+00:00,1041.68,1041.68,1,1,hold,False
2026-04-12T00:26:36+00:00,1041.6,1330.18,1,1,hold,False
2026-04-12T00:26:45+00:00,1041.68,920.42,1,1,hold,False
2026-04-12T00:26:54+00:00,976.96,927.39,1,1,hold,False
2026-04-12T00:27:03+00:00,560.32,164.13,1,1,hold,False
2026-04-12T00:27:12+00:00,143.69,0,1,1,hold,False
2026-04-12T00:27:21+00:00,0.0,118.41,1,1,hold,False
2026-04-12T00:27:30+00:00,1058.92,2434.82,1,2,scale_up,True
2026-04-12T00:27:39+00:00,2275.56,2459.58,2,2,hold,False
2026-04-12T00:27:48+00:00,3847.8,5277.73,2,4,hold,False
2026-04-12T00:27:58+00:00,3431.43,1446.13,2,1,hold,False
2026-04-12T00:28:07+00:00,4166.24,4031.85,2,3,scale_up,True
2026-04-12T00:28:16+00:00,3883.48,4962.27,3,4,hold,False
2026-04-12T00:28:25+00:00,3762.6,3421.66,3,3,hold,False
2026-04-12T00:28:34+00:00,3762.16,3285.74,3,3,hold,False
2026-04-12T00:28:43+00:00,4167.0,4495.79,3,3,hold,False
2026-04-12T00:28:52+00:00,4165.96,4181.66,3,3,hold,False
2026-04-12T00:29:00+00:00,4166.08,4093.81,3,3,hold,False
2026-04-12T00:29:10+00:00,4165.56,4220.52,3,3,hold,False
2026-04-12T00:29:19+00:00,4166.52,4145.62,3,3,hold,False
2026-04-12T00:29:28+00:00,3047.72,2557.35,3,2,scale_down,True
2026-04-12T00:29:37+00:00,1381.2,0,2,1,hold,False
2026-04-12T00:29:46+00:00,548.12,341.81,2,1,hold,False
2026-04-12T00:29:55+00:00,0.08,0,2,1,hold,False
2026-04-12T00:30:04+00:00,0.04,0,2,1,scale_down,True
2026-04-12T00:30:13+00:00,0.04,142.37,1,1,hold,False
2026-04-12T00:30:22+00:00,0.0,0,1,1,hold,False
2026-04-12T00:30:31+00:00,0.0,0,1,1,hold,False
2026-04-12T00:30:40+00:00,0.0,25.66,1,1,hold,False
2026-04-12T00:30:50+00:00,0.0,0,1,1,hold,False
2026-04-12T00:30:59+00:00,0.0,1.01,1,1,hold,False
2026-04-12T00:31:08+00:00,0.0,5.19,1,1,hold,False
2026-04-12T00:31:17+00:00,0.04,0,1,1,hold,False
2026-04-12T00:31:26+00:00,0.04,0,1,1,hold,False
2026-04-12T00:31:35+00:00,0.04,0.17,1,1,hold,False
2026-04-12T00:31:44+00:00,0.0,0,1,1,hold,False
2026-04-12T00:31:53+00:00,0.0,0,1,1,hold,False
2026-04-12T00:32:02+00:00,0.0,0.02,1,1,hold,False
2026-04-12T00:32:10+00:00,0.0,0,1,1,hold,False
2026-04-12T00:32:19+00:00,0.0,0.09,1,1,hold,False
2026-04-12T00:32:28+00:00,0.0,0,1,1,hold,False
2026-04-12T00:32:37+00:00,0.0,76.07,1,1,hold,False
2026-04-12T00:32:46+00:00,0.0,7.53,1,1,hold,False
2026-04-12T00:32:55+00:00,0.0,0.28,1,1,hold,False
2026-04-12T00:33:05+00:00,0.0,79.88,1,1,hold,False
2026-04-12T00:33:14+00:00,0.0,15.41,1,1,hold,False
2026-04-12T00:33:23+00:00,0.0,0,1,1,hold,False
2026-04-12T00:33:32+00:00,0.0,77.04,1,1,hold,False
