ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T20:05:34+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:05:39+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:05:44+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:05:49+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:05:54+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:05:59+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:06:04+00:00,0.0,0.0,1,1,hold,False
2026-04-12T20:06:09+00:00,28.32,28.32,1,1,hold,False
2026-04-12T20:06:14+00:00,236.72,236.72,1,1,hold,False
2026-04-12T20:06:19+00:00,445.08,509.1,1,1,hold,False
2026-04-12T20:06:24+00:00,653.36,985.47,1,1,hold,False
2026-04-12T20:06:29+00:00,861.68,861.68,1,1,hold,False
2026-04-12T20:06:34+00:00,1041.76,1310.43,1,1,hold,False
2026-04-12T20:06:39+00:00,1041.52,990.99,1,1,hold,False
2026-04-12T20:06:44+00:00,1041.72,953.38,1,1,hold,False
2026-04-12T20:06:49+00:00,1041.68,1016.3,1,1,hold,False
2026-04-12T20:06:54+00:00,1041.76,1036.08,1,1,hold,False
2026-04-12T20:06:59+00:00,1041.6,1040.22,1,1,hold,False
2026-04-12T20:07:04+00:00,1041.8,1042.04,1,1,hold,False
2026-04-12T20:07:09+00:00,1013.84,965.96,1,1,hold,False
2026-04-12T20:07:14+00:00,805.56,411.98,1,1,hold,False
2026-04-12T20:07:19+00:00,597.16,278.4,1,1,hold,False
2026-04-12T20:07:24+00:00,388.92,80.43,1,1,hold,False
2026-04-12T20:07:29+00:00,180.56,0,1,1,hold,False
2026-04-12T20:07:34+00:00,0.0,0,1,1,hold,False
2026-04-12T20:07:39+00:00,0.0,112.69,1,1,hold,False
2026-04-12T20:07:44+00:00,577.72,1900.0,1,2,scale up,True
2026-04-12T20:07:49+00:00,1346.76,2242.49,2,2,hold,False
2026-04-12T20:07:54+00:00,1346.76,374.49,2,1,hold,False
2026-04-12T20:07:59+00:00,1346.76,1460.44,2,1,hold,False
2026-04-12T20:08:04+00:00,3051.23,4393.03,2,3,hold,False
2026-04-12T20:08:09+00:00,3165.89,2891.88,2,2,hold,False
2026-04-12T20:08:14+00:00,3094.77,3433.45,2,3,hold,False
2026-04-12T20:08:19+00:00,4166.65,4620.41,2,4,scale up,True
2026-04-12T20:08:24+00:00,3867.88,3926.39,4,3,hold,False
2026-04-12T20:08:29+00:00,3867.88,4082.36,4,3,hold,False
2026-04-12T20:08:34+00:00,4218.57,4432.36,4,3,hold,False
2026-04-12T20:08:39+00:00,4069.46,4071.31,4,3,hold,False
2026-04-12T20:08:44+00:00,3136.23,2840.36,4,2,hold,False
2026-04-12T20:08:49+00:00,3805.25,3670.1,4,3,scale down,True
2026-04-12T20:08:54+00:00,4082.49,3849.01,3,3,hold,False
2026-04-12T20:08:59+00:00,4166.0,4359.67,3,3,hold,False
2026-04-12T20:09:04+00:00,4166.0,4064.57,3,3,hold,False
2026-04-12T20:09:09+00:00,4166.0,4136.15,3,3,hold,False
2026-04-12T20:09:14+00:00,4165.08,4252.46,3,3,hold,False
2026-04-12T20:09:19+00:00,4165.88,4083.49,3,3,hold,False
2026-04-12T20:09:24+00:00,4166.12,4177.17,3,3,hold,False
2026-04-12T20:09:29+00:00,4165.6,4199.24,3,3,hold,False
2026-04-12T20:09:34+00:00,4166.08,4131.88,3,3,hold,False
2026-04-12T20:09:39+00:00,4165.68,4169.19,3,3,hold,False
2026-04-12T20:09:44+00:00,3550.4,3734.41,3,3,hold,False
2026-04-12T20:09:49+00:00,2716.72,2792.26,3,2,scale down,True
2026-04-12T20:09:55+00:00,1883.76,1477.1,2,1,hold,False
2026-04-12T20:10:00+00:00,1138.24,558.77,2,1,hold,False
2026-04-12T20:10:05+00:00,257.9,0,2,1,hold,False
2026-04-12T20:10:10+00:00,0.05,93.28,2,1,hold,False
2026-04-12T20:10:15+00:00,0.0,314.67,2,1,hold,False
2026-04-12T20:10:20+00:00,0.0,45.09,2,1,hold,False
2026-04-12T20:10:25+00:00,0.0,0,1,1,hold,False
2026-04-12T20:11:36+00:00,0.0,0,2,1,scale down,True
2026-04-12T20:11:43+00:00,0.0,0,2,1,hold,False
2026-04-12T20:11:48+00:00,0.0,0,2,1,hold,False
2026-04-12T20:11:53+00:00,0.0,2129.12,2,2,hold,False
2026-04-12T20:11:58+00:00,0.0,125.4,2,1,hold,False
2026-04-12T20:12:03+00:00,0.0,81.36,1,1,hold,False
2026-04-12T20:12:08+00:00,0.0,64.7,1,1,hold,False
2026-04-12T20:12:13+00:00,0.0,0,1,1,hold,False
2026-04-12T20:12:18+00:00,0.0,112.45,1,1,hold,False
2026-04-12T20:12:23+00:00,0.0,94.5,1,1,hold,False
2026-04-12T20:12:28+00:00,0.0,0.02,1,1,hold,False
2026-04-12T20:12:33+00:00,0.0,0.01,1,1,hold,False
2026-04-12T20:12:38+00:00,0.0,0.01,1,1,hold,False
2026-04-12T20:12:43+00:00,0.0,0.01,1,1,hold,False
2026-04-12T20:12:48+00:00,0.0,0.02,1,1,hold,False
2026-04-12T20:12:53+00:00,0.0,0.08,1,1,hold,False
2026-04-12T20:12:58+00:00,0.0,0.21,1,1,hold,False
2026-04-12T20:13:03+00:00,0.0,0,1,1,hold,False
