ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-05-16T23:00:28+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:33+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:39+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:44+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:49+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:54+01:00,0,1,0,1500,1/1,1
2026-05-16T23:00:59+01:00,18.60465333333333,1,19987m,1500,1/1,1
2026-05-16T23:01:05+01:00,203.52239510419585,1,19987m,1500,1/1,1
2026-05-16T23:01:09+01:00,385.04478400000005,1,19987m,1500,1/1,1
2026-05-16T23:01:15+01:00,571.1704960000001,1,607639m,1500,1/1,1
2026-05-16T23:01:19+01:00,749.458816,1,607639m,1500,1/1,1
2026-05-16T23:01:25+01:00,941.8379009679227,1,607639m,1500,1/1,1
2026-05-16T23:01:29+01:00,1041.6816672666907,1,1041681m,1500,1/1,1
2026-05-16T23:01:35+01:00,1041.72,1,1041681m,1500,1/1,1
2026-05-16T23:01:39+01:00,1041.68,1,1041681m,1500,1/1,1
2026-05-16T23:01:45+01:00,1041.5983360665573,1,1041598m,1500,1/1,1
2026-05-16T23:01:49+01:00,1041.7633410672852,1,1041598m,1500,1/1,1
2026-05-16T23:01:55+01:00,1041.5983360665573,1,1041598m,1500,1/1,1
2026-05-16T23:01:59+01:00,1021.0391584336627,1,1021039m,1500,1/1,1
2026-05-16T23:02:05+01:00,812.6874925003001,1,1021039m,1500,1/1,1
2026-05-16T23:02:09+01:00,604.44,1,1021039m,1500,1/1,1
2026-05-16T23:02:15+01:00,396.0641574337027,1,396064m,1500,1/1,1
2026-05-16T23:02:19+01:00,187.76,1,396064m,1500,1/1,1
2026-05-16T23:02:25+01:00,0,1,396064m,1500,1/1,1
2026-05-16T23:02:29+01:00,38.88,1,38880m,1500,1/1,1
2026-05-16T23:02:34+01:00,872.2348893955758,1,38880m,1500,1/1,1
2026-05-16T23:02:39+01:00,1705.851765929363,1,38880m,1500,1/1,1
2026-05-16T23:02:44+01:00,2539.2400000000002,1,2539240m,1500,1/2,1
2026-05-16T23:02:49+01:00,3265.52,1,2539240m,1500,2/2,2
2026-05-16T23:02:54+01:00,3226.64,1,2539240m,1500,2/2,2
2026-05-16T23:02:59+01:00,3794.1537976958252,2,4082670m,1500,2/3,2
2026-05-16T23:03:04+01:00,NA,2,4082670m,1500,3/3,3
2026-05-16T23:03:10+01:00,3689.160576666667,2,4082670m,1500,3/3,3
2026-05-16T23:03:15+01:00,3660.094018666667,3,3775232m,1500,3/4,3
2026-05-16T23:03:21+01:00,4166.88,3,3775232m,1500,4/4,4
2026-05-16T23:03:26+01:00,4166.4800000000005,3,3775232m,1500,4/4,4
2026-05-16T23:03:31+01:00,4166.6,4,4166600m,1500,4/5,4
2026-05-16T23:03:36+01:00,4166.56,4,4166600m,1500,5/5,5
2026-05-16T23:03:41+01:00,4166.84,4,4166600m,1500,5/5,5
2026-05-16T23:03:47+01:00,4144.32,5,4144319m,1500,5/5,5
2026-05-16T23:03:53+01:00,4144.52,5,4144319m,1500,5/5,5
