ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-04-13T23:12:43+01:00,0.04,1,40m,1500,1/1,1
2026-04-13T23:12:49+01:00,0.04000160006400256,1,40m,1500,1/1,1
2026-04-13T23:12:54+01:00,0,1,0,1500,1/1,1
2026-04-13T23:12:59+01:00,0,1,0,1500,1/1,1
2026-04-13T23:13:04+01:00,0,1,0,1500,1/1,1
2026-04-13T23:13:09+01:00,0,1,0,1500,1/1,1
2026-04-13T23:13:14+01:00,6.04,1,0,1500,1/1,1
2026-04-13T23:13:19+01:00,214.44857794311773,1,0,1500,1/1,1
2026-04-13T23:13:24+01:00,422.7938235058804,1,422793m,1500,1/1,1
2026-04-13T23:13:30+01:00,631.1052442097683,1,422793m,1500,1/1,1
2026-04-13T23:13:34+01:00,839.4735789431577,1,422793m,1500,1/1,1
2026-04-13T23:13:40+01:00,1041.6766658667307,1,1041676m,1500,1/1,1
2026-04-13T23:13:44+01:00,1041.64,1,1041676m,1500,1/1,1
2026-04-13T23:13:50+01:00,1041.6816672666907,1,1041676m,1500,1/1,1
2026-04-13T23:13:54+01:00,1041.64,1,1041640m,1500,1/1,1
2026-04-13T23:14:00+01:00,1041.5583376664933,1,1041640m,1500,1/1,1
2026-04-13T23:14:04+01:00,1041.5616624664985,1,1041640m,1500,1/1,1
2026-04-13T23:14:10+01:00,1041.68,1,1041680m,1500,1/1,1
2026-04-13T23:14:14+01:00,1036.2385504579818,1,1041680m,1500,1/1,1
2026-04-13T23:14:20+01:00,827.926882924683,1,1041680m,1500,1/1,1
2026-04-13T23:14:24+01:00,619.5904327653788,1,619590m,1500,1/1,1
2026-04-13T23:14:30+01:00,411.36,1,619590m,1500,1/1,1
2026-04-13T23:14:34+01:00,202.92000000000002,1,619590m,1500,1/1,1
2026-04-13T23:14:40+01:00,0,1,0,1500,1/1,1
2026-04-13T23:14:45+01:00,0,1,0,1500,1/1,1
2026-04-13T23:14:50+01:00,802.9042323385871,1,0,1500,1/1,1
2026-04-13T23:14:55+01:00,1636.2945482180714,1,1636294m,1500,1/1,1
2026-04-13T23:15:00+01:00,2469.68,1,1636294m,1500,1/1,1
2026-04-13T23:15:06+01:00,3303.2000000000003,1,1636294m,1500,1/1,1
2026-04-13T23:15:11+01:00,4136.52546101844,1,4136525m,1500,2/2,2
2026-04-13T23:15:17+01:00,3738.36,1,4136525m,1500,2/2,2
2026-04-13T23:15:22+01:00,2904.95619824793,1,4136525m,1500,2/2,2
2026-04-13T23:15:27+01:00,3440.5766000000003,2,3193437m,1500,2/2,2
2026-04-13T23:15:32+01:00,3320.1889066666668,2,3193437m,1500,2/2,2
2026-04-13T23:15:37+01:00,3183.662727047719,2,3193437m,1500,2/2,2
2026-04-13T23:15:42+01:00,3476.69448,2,3208081m,1500,3/3,3
2026-04-13T23:15:47+01:00,3515,2,3208081m,1500,3/3,3
2026-04-13T23:15:52+01:00,4126.214933333333,2,3208081m,1500,3/3,3
2026-04-13T23:15:57+01:00,3990.39308,3,3708202m,1500,3/3,3
2026-04-13T23:16:02+01:00,3870.8484222222223,3,3708202m,1500,3/3,3
2026-04-13T23:16:07+01:00,3723.8413733333327,3,3708202m,1500,3/3,3
2026-04-13T23:16:12+01:00,4166.4666826653865,3,3945823m,1500,4/4,4
2026-04-13T23:16:17+01:00,3798,3,3945823m,1500,4/4,4
2026-04-13T23:16:22+01:00,2964.84,3,3945823m,1500,4/4,4
2026-04-13T23:16:27+01:00,3762.94336,4,3417271m,1500,4/4,4
2026-04-13T23:16:33+01:00,2953.920866795388,4,3417271m,1500,4/4,4
2026-04-13T23:16:39+01:00,3292.1084016666664,4,3371699m,1500,4/5,4
2026-04-13T23:16:44+01:00,4145.4400000000005,4,3371699m,1500,5/5,5
2026-04-13T23:16:50+01:00,3312.36,4,3371699m,1500,5/5,5
2026-04-13T23:16:54+01:00,2479.16,5,2479160m,1500,5/5,5
2026-04-13T23:17:00+01:00,1646.08,5,2479160m,1500,5/5,5
2026-04-13T23:17:04+01:00,812.08,5,2479160m,1500,5/5,5
2026-04-13T23:17:10+01:00,0.28,5,280m,1500,4/4,4
2026-04-13T23:17:14+01:00,0.12,5,280m,1500,4/4,4
2026-04-13T23:17:20+01:00,0.08,5,280m,1500,4/4,4
2026-04-13T23:17:24+01:00,0.04,4,40m,1500,4/4,4
2026-04-13T23:17:30+01:00,0.04,4,40m,1500,4/4,4
2026-04-13T23:17:34+01:00,0.04,4,40m,1500,4/4,4
2026-04-13T23:17:40+01:00,0.04,4,40m,1500,3/3,3
2026-04-13T23:17:44+01:00,0.04389666666666667,4,40m,1500,3/3,3
2026-04-13T23:17:50+01:00,0.04566888888888889,4,40m,1500,3/3,3
2026-04-13T23:17:55+01:00,0.051379999999999995,3,51m,1500,3/3,3
2026-04-13T23:18:01+01:00,0.06324666666666666,3,51m,1500,3/3,3
2026-04-13T23:18:06+01:00,0,3,51m,1500,3/3,3
2026-04-13T23:18:11+01:00,0,3,0,1500,2/2,2
2026-04-13T23:18:17+01:00,0,3,0,1500,2/2,2
2026-04-13T23:18:23+01:00,0,2,0,1500,2/2,2
2026-04-13T23:18:29+01:00,0,2,0,1500,2/2,2
2026-04-13T23:18:34+01:00,0,2,0,1500,2/2,2
2026-04-13T23:18:39+01:00,0,2,0,1500,1/1,1
2026-04-13T23:18:44+01:00,0,2,0,1500,1/1,1
2026-04-13T23:18:50+01:00,0,2,0,1500,1/1,1
2026-04-13T23:18:54+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:00+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:04+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:10+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:16+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:21+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:26+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:31+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:37+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:42+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:47+01:00,0,1,0,1500,1/1,1
2026-04-13T23:19:52+01:00,0,1,0,1500,1/1,1
