ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-04-12T00:27:40+01:00,0,1,0,1500,1/1,1
2026-04-12T00:27:45+01:00,0,1,0,1500,1/1,1
2026-04-12T00:27:51+01:00,0,1,0,1500,1/1,1
2026-04-12T00:27:56+01:00,0,1,0,1500,1/1,1
2026-04-12T00:28:01+01:00,0,1,0,1500,1/1,1
2026-04-12T00:28:09+01:00,0,1,0,1500,1/1,1
2026-04-12T00:28:14+01:00,106.47574097036119,1,0,1500,1/1,1
2026-04-12T00:28:20+01:00,314.8274069037239,1,314827m,1500,1/1,1
2026-04-12T00:28:25+01:00,523.08,1,314827m,1500,1/1,1
2026-04-12T00:28:30+01:00,731.44,1,314827m,1500,1/1,1
2026-04-12T00:28:35+01:00,939.76,1,939760m,1500,1/1,1
2026-04-12T00:28:40+01:00,1041.6816672666907,1,939760m,1500,1/1,1
2026-04-12T00:28:45+01:00,1041.68,1,939760m,1500,1/1,1
2026-04-12T00:28:50+01:00,1041.64,1,1041640m,1500,1/1,1
2026-04-12T00:28:55+01:00,1041.7183312667494,1,1041640m,1500,1/1,1
2026-04-12T00:29:00+01:00,1041.7616704668187,1,1041640m,1500,1/1,1
2026-04-12T00:29:05+01:00,1041.68,1,1041680m,1500,1/1,1
2026-04-12T00:29:10+01:00,1041.6016640665625,1,1041680m,1500,1/1,1
2026-04-12T00:29:15+01:00,935.96,1,1041680m,1500,1/1,1
2026-04-12T00:29:21+01:00,727.48,1,727480m,1500,1/1,1
2026-04-12T00:29:26+01:00,519.1792328306868,1,727480m,1500,1/1,1
2026-04-12T00:29:31+01:00,310.8675652973881,1,727480m,1500,1/1,1
2026-04-12T00:29:36+01:00,102.59589616415344,1,102595m,1500,1/1,1
2026-04-12T00:29:41+01:00,0,1,102595m,1500,1/1,1
2026-04-12T00:29:46+01:00,378.52,1,102595m,1500,1/1,1
2026-04-12T00:29:51+01:00,1211.76,1,1211760m,1500,1/1,1
2026-04-12T00:29:56+01:00,2045.0418016720669,1,1211760m,1500,1/1,1
2026-04-12T00:30:01+01:00,2878.36,1,1211760m,1500,1/1,1
2026-04-12T00:30:07+01:00,3711.52,1,3711520m,1500,2/2,2
2026-04-12T00:30:12+01:00,4132.3252930117205,1,3711520m,1500,2/2,2
2026-04-12T00:30:17+01:00,3299.051962078483,1,3711520m,1500,2/2,2
2026-04-12T00:30:22+01:00,4105.613675144995,2,4049498m,1500,3/3,3
2026-04-12T00:30:27+01:00,3955.738202078483,2,4049498m,1500,3/3,3
2026-04-12T00:30:32+01:00,3829.922622222222,2,4049498m,1500,3/3,3
2026-04-12T00:30:37+01:00,3717.7974,3,3669738m,1500,3/4,3
2026-04-12T00:30:42+01:00,4166.6,3,3669738m,1500,4/4,4
2026-04-12T00:30:47+01:00,4166.72,3,3669738m,1500,4/4,4
2026-04-12T00:30:52+01:00,4166.96,4,4166960m,1500,5/5,5
2026-04-12T00:30:57+01:00,4166.36,4,4166960m,1500,5/5,5
2026-04-12T00:31:03+01:00,4166.8,4,4166960m,1500,5/5,5
2026-04-12T00:31:07+01:00,4166.8,5,4166800m,1500,5/5,5
2026-04-12T00:31:13+01:00,4162.2,5,4166800m,1500,5/5,5
2026-04-12T00:31:17+01:00,4162.2,5,4166800m,1500,5/5,5
2026-04-12T00:31:23+01:00,4161.04,5,4160480m,1500,5/5,5
2026-04-12T00:31:27+01:00,4161.04,5,4160480m,1500,5/5,5
2026-04-12T00:31:32+01:00,4161.04,5,4160480m,1500,5/5,5
