ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-04-11T19:27:03+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:08+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:13+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:18+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:23+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:28+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:33+01:00,0,1,0,1500,1/1,1
2026-04-11T19:27:38+01:00,176.9129234830607,1,176912m,1500,1/1,1
2026-04-11T19:27:43+01:00,385.3262391486979,1,176912m,1500,1/1,1
2026-04-11T19:27:49+01:00,593.576256949722,1,176912m,1500,1/1,1
2026-04-11T19:27:54+01:00,801.8079276828927,1,801807m,1500,1/1,1
2026-04-11T19:27:59+01:00,1010.08,1,801807m,1500,1/1,1
2026-04-11T19:28:04+01:00,1041.7616704668187,1,801807m,1500,1/1,1
2026-04-11T19:28:10+01:00,865.4,1,865400m,1500,1/1,1
2026-04-11T19:28:16+01:00,657.1062842513701,1,865400m,1500,1/1,1
2026-04-11T19:28:21+01:00,448.84000000000003,1,865400m,1500,1/1,1
2026-04-11T19:28:26+01:00,240.6,1,240600m,1500,1/1,1
2026-04-11T19:28:31+01:00,32.04128165126605,1,240600m,1500,1/1,1
2026-04-11T19:28:36+01:00,0,1,240600m,1500,1/1,1
2026-04-11T19:28:41+01:00,652.5600000000001,1,652560m,1500,1/1,1
2026-04-11T19:28:46+01:00,1486.059442377695,1,652560m,1500,1/1,1
2026-04-11T19:28:51+01:00,2319.2672293108276,1,652560m,1500,1/1,1
2026-04-11T19:28:56+01:00,3152.0739170433185,1,3152073m,1500,2/2,2
2026-04-11T19:29:01+01:00,3682.5073002920117,1,3152073m,1500,2/2,2
2026-04-11T19:29:06+01:00,3029.6788128474864,1,3152073m,1500,2/2,2
2026-04-11T19:29:11+01:00,3317.689666666667,2,2196360m,1500,3/3,3
2026-04-11T19:29:16+01:00,2261.227688847554,2,2196360m,1500,3/3,3
2026-04-11T19:29:21+01:00,1353.1668739149566,2,2196360m,1500,3/3,3
2026-04-11T19:29:26+01:00,2007.4733566666669,3,975232m,1500,3/3,3
2026-04-11T19:29:31+01:00,2721.4591,3,975232m,1500,3/3,3
2026-04-11T19:29:36+01:00,2622.138311111111,3,975232m,1500,3/3,3
2026-04-11T19:29:42+01:00,3319.2728800000004,3,3074623m,1500,4/4,4
2026-04-11T19:29:47+01:00,3352.44,3,3074623m,1500,4/4,4
2026-04-11T19:29:52+01:00,2519.16,3,3074623m,1500,4/4,4
2026-04-11T19:29:57+01:00,3332.5388599999997,4,3899699m,1500,5/5,5
2026-04-11T19:30:02+01:00,2721.699913333333,4,3899699m,1500,5/5,5
2026-04-11T19:30:07+01:00,3057.63442,4,3899699m,1500,5/5,5
2026-04-11T19:30:12+01:00,2750.4524133333334,5,2498957m,1500,5/5,5
2026-04-11T19:30:17+01:00,2465.2565999999997,5,2498957m,1500,5/5,5
2026-04-11T19:30:22+01:00,1543.3775970105905,5,2498957m,1500,5/5,5
2026-04-11T19:30:27+01:00,939.8000000000001,5,939800m,1500,5/5,5
2026-04-11T19:30:32+01:00,106.8,5,939800m,1500,5/5,5
2026-04-11T19:30:37+01:00,0,5,939800m,1500,5/5,5
2026-04-11T19:30:42+01:00,NA,5,0,1500,5/5,5
2026-04-11T19:30:47+01:00,0,5,0,1500,5/5,5
2026-04-11T19:30:53+01:00,0,5,0,1500,5/5,5
2026-04-11T19:30:58+01:00,0,5,0,1500,5/5,5
2026-04-11T19:31:03+01:00,0,5,0,1500,5/5,5
2026-04-11T19:31:08+01:00,0,5,0,1500,4/4,4
2026-04-11T19:31:13+01:00,0,5,0,1500,4/4,4
2026-04-11T19:31:18+01:00,0,5,0,1500,4/4,4
2026-04-11T19:31:23+01:00,0,4,0,1500,3/3,3
2026-04-11T19:31:29+01:00,0,4,0,1500,3/3,3
2026-04-11T19:31:34+01:00,0,4,0,1500,3/3,3
2026-04-11T19:31:39+01:00,0,3,0,1500,2/2,2
2026-04-11T19:31:44+01:00,0,3,0,1500,2/2,2
2026-04-11T19:31:49+01:00,0,3,0,1500,2/2,2
2026-04-11T19:31:54+01:00,0,2,0,1500,1/1,1
2026-04-11T19:31:59+01:00,0,2,0,1500,1/1,1
